ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
I2,Integrity,Final integrity gate,100% claim verification + strict BibTeX audit (Stage 4.5),0,N/A,`integrity_gate.py --stage final` passes; zero blockers,DONE,0,"integrity_gate.py --stage final: PASS, 47/47 claim verdicts filled",Q2,AI
Q3,QA,Process record (optional),Generate `notes/process-record.md` + fill collaboration quality table,0,N/A,process-record exists; scores filled if requested,DONE,0,process record not required for this run,I2,AI
SL4,Slides,Slide material analysis + needs interview,Read paper main.tex; ask duration + audience + content scope (Phase 0-1),0,N/A,Interview completed; slide count and scope confirmed,SKIP,0,no talk planned,,BOTH
SL5,Slides,Slide structure plan,Produce detailed outline: section titles + slide count + content points + planned TikZ (Phase 2),0,N/A,User approved structure plan,SKIP,0,no talk planned,SL4,AI
SL6,Slides,Slide drafting,Write slides in batches of 5-10; telegraphic style; self-check density per batch (Phase 3),0,TikZ diagrams,All slides drafted; notation consistent; density within bounds,SKIP,0,no talk planned,SL5,AI
SL7,Slides,Slide quality loop,Compile + self-review + score ≥90 + fix (max 3 rounds) (Phase 5),0,N/A,Score ≥90; no overfull hbox >10pt; all citations resolve,SKIP,0,no talk planned,SL6,AI
SL8,Slides,Slide validation,Run validate_slides.py; fix all VIOLATION and CRITICAL items,0,N/A,`validate_slides.py` reports PASS or PASS WITH WARNINGS,SKIP,0,no talk planned,SL7,AI
VD1,Video,Generate narration script,Parse slides.tex frames and speaker notes into narration-script.json,0,N/A,narration-script.json exists with one entry per slide,SKIP,0,no video planned,SL8,AI
VD2,Video,Synthesize TTS audio,Synthesize per-slide TTS audio + manifest.json,0,N/A,All MP3 files generated; manifest.json has correct durations,SKIP,0,no video planned,VD1,AI
VD3,Video,Scaffold Remotion project,Convert PDF to PNG + copy Remotion template + generate props.json + npm install,0,N/A,slides/video/remotion/ exists with props.json and node_modules/,SKIP,0,no video planned,VD2,AI
VD4,Video,Render video,Run Remotion render to produce presentation.mp4,0,N/A,presentation.mp4 exists; H.264 1920x1080 30fps,SKIP,0,no video planned,VD3,AI
VD5,Video,Validate video,Check resolution + audio track + duration + file size,0,N/A,`validate_video.py` PASS; notes/video-validation.md generated,SKIP,0,no video planned,VD4,AI
PS1,Poster,Poster material analysis + requirements,Read paper; confirm dimensions/orientation/columns/style (PS0-PS1),0,N/A,Interview completed; dimensions confirmed,SKIP,0,no poster planned,,BOTH
PS2,Poster,Resource collection,Convert figures PDF→PNG; download logos; generate QR codes (PS2),0,N/A,All figures in poster/; QR code generated,SKIP,0,no poster planned,PS1,AI
PS3,Poster,Generate poster HTML,Populate template: CARD_REGISTRY + DEFAULT_LAYOUT + header (PS3),0,N/A,poster/index.html renders; no FILL_IN placeholders,SKIP,0,no poster planned,PS2,AI
PS4,Poster,Layout optimization,Playwright whitespace minimization + PDF export (PS4),0,N/A,posterAPI.getWaste() < 15%; PDF exported,SKIP,0,no poster planned,PS3,AI
PS5,Poster,Quality loop + user iteration,Validate score ≥85; user edits via Copy Config (PS5; max 3 rounds),0,N/A,Score ≥85; poster-validation.md generated,SKIP,0,no poster planned,PS4,BOTH
PS6,Poster,Poster thumbnail + final export,Generate thumbnail; final PDF at print resolution,0,N/A,poster.pdf + thumbnail exist,SKIP,0,no poster planned,PS5,AI
RC1,Review,Answer review comment 1,Abstract is over length,,,"the manuscript changes, or the comment is declined in writing",DONE,,abstract rewritten to ~251 words,,
RC2,Review,Answer review comment 2,"The ""57 of 62"" figure is over-precise",,,"the manuscript changes, or the comment is declined in writing",DONE,,counting method now stated in Section V,,
RC3,Review,Answer review comment 3,The self-application claim omits an override,,,"the manuscript changes, or the comment is declined in writing",DONE,,override disclosed in Section VIII-D,,
RC4,Review,Answer review comment 4,No baseline,,,"the manuscript changes, or the comment is declined in writing",SKIP,,declined: no ungated baseline was run; the protocol and harness ship instead (Section X),,
RC5,Review,Answer review comment 5,Related work does not close,,,"the manuscript changes, or the comment is declined in writing",DONE,,positioning sentence added at the end of Section II-D,,
RC6,Review,Answer review comment 6,Table IV mixes one pre-patch run with six post-patch runs,,,"the manuscript changes, or the comment is declined in writing",DONE,,caption states the asymmetry,,
RC7,Review,Answer review comment 7,The abstract overstated what gates prevent,,,"the manuscript changes, or the comment is declined in writing",DONE,,abstract softened to match Section VI,,
