ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
I1,Integrity,Pre-review integrity gate,"Run privacy scan + BibTeX audit + claim registry sample (Stage 2.5)",0,N/A,`integrity_gate.py --stage pre-review` passes; no blocker verdicts,TODO,0,Use `python3 scripts/integrity_gate.py --project-dir <paper_dir> --stage pre-review`; see `references/integrity-verification.md`,A1,AI
SL1,SelfReview,Logic selfloop,"Check paragraph linkage and topic coherence within each section",0,N/A,`logic_selfloop.py` PASS; no paragraph islands,TODO,0,Use `python3 scripts/logic_selfloop.py --project-dir <paper_dir>`,I1,AI
SL2,SelfReview,Argument selfloop,"Verify claim-evidence chains; no orphan claims or unsupported passages",0,N/A,`argument_selfloop.py` PASS,TODO,0,Use `python3 scripts/argument_selfloop.py --project-dir <paper_dir>`,I1,AI
SL3,SelfReview,Voice selfloop,"Detect generator/planner voice leaks and opener monotony",0,N/A,`voice_selfloop.py` PASS; zero forbidden patterns,TODO,0,Use `python3 scripts/voice_selfloop.py --project-dir <paper_dir>`,I1,AI
PR1,Review,Reviewer round 1,Run multi-role review focusing on backend/agent depth + eval honesty + privacy leaks,0,N/A,Major blockers converted into tracked issue rows; scope unchanged unless approved,TODO,0,Use references/paper-reviewer.md rubric; do not fabricate results,SL1;SL2;SL3,AI
PR2,Review,Reviewer round 2,Camera-ready review: coherence + related work completeness + layout/figures + citations,0,N/A,No major blockers remain; privacy scan passes; compile passes or remaining items tracked,TODO,0,Stop iterating when only minor issues remain,PR1,AI
RF1,Refinement,Rhythm refinement,"Refine prose section-by-section: cut fillers, vary sentence lengths, fix voice leaks. Apply writing-style.md + anti-ai-writing.md guidelines",0,N/A,All sections refined; citations preserved; fillers removed; voice_selfloop + anti_ai_scan --strict pass,TODO,0,Run only after all writing issues are DONE; see references/writing-style.md and references/anti-ai-writing.md,PR2,AI
Q1,QA,Compile,Clean compile with bibtex/latexmk and no fatal warnings,0,N/A,compile_paper.py exit 0; no Citation undefined,TODO,0,Fix errors before marking DONE,RF1,AI
Q2,QA,Layout hygiene,Fix Overfull \\hbox and ensure figures/tables fit 2-column constraints,0,N/A,No Overfull \\hbox in main.log (or justified exceptions recorded),TODO,0,Prefer single-column figures unless necessary,Q1,AI
I2,Integrity,Final integrity gate,"100% claim verification + strict BibTeX audit (Stage 4.5)",0,N/A,`integrity_gate.py --stage final` passes; zero blockers,TODO,0,Run right before final delivery,Q2,AI
Q3,QA,Process record (optional),Generate `notes/process-record.md` + fill collaboration quality table,0,N/A,process-record exists; scores filled if requested,TODO,0,Use `python3 scripts/process_record.py --project-dir <paper_dir>`,I2,AI
SL4,Slides,Slide material analysis + needs interview,"Read paper main.tex; ask duration + audience + content scope (Phase 0-1)",0,N/A,Interview completed; slide count and scope confirmed,TODO,0,See `references/beamer-workflow.md` Phase 0-1,,BOTH
SL5,Slides,Slide structure plan,"Produce detailed outline: section titles + slide count + content points + planned TikZ (Phase 2)",0,N/A,User approved structure plan,TODO,0,GATE: do NOT draft until user approves,SL4,AI
SL6,Slides,Slide drafting,"Write slides in batches of 5-10; telegraphic style; self-check density per batch (Phase 3)",0,TikZ diagrams,All slides drafted; notation consistent; density within bounds,TODO,0,Use `assets/template/beamer-preamble.tex`,SL5,AI
SL7,Slides,Slide quality loop,"Compile + self-review + score ≥90 + fix (max 3 rounds) (Phase 5)",0,N/A,Score ≥90; no overfull hbox >10pt; all citations resolve,TODO,0,Use `python3 scripts/compile_slides.py` and `validate_slides.py`,SL6,AI
SL8,Slides,Slide validation,"Run validate_slides.py; fix all VIOLATION and CRITICAL items",0,N/A,`validate_slides.py` reports PASS or PASS WITH WARNINGS,TODO,0,Use `python3 scripts/validate_slides.py --project-dir <slides_dir> --duration <min>`,SL7,AI
VD1,Video,Generate narration script,"Parse slides.tex frames and speaker notes into narration-script.json",0,N/A,narration-script.json exists with one entry per slide,TODO,0,Use `python3 scripts/generate_narration.py --project-dir <paper_dir>`,SL8,AI
VD2,Video,Synthesize TTS audio,"Synthesize per-slide TTS audio + manifest.json",0,N/A,All MP3 files generated; manifest.json has correct durations,TODO,0,Use `python3 scripts/synthesize_tts.py --project-dir <paper_dir>`; requires GPU or --api-url; see references/video-workflow.md,VD1,AI
VD3,Video,Scaffold Remotion project,"Convert PDF to PNG + copy Remotion template + generate props.json + npm install",0,N/A,slides/video/remotion/ exists with props.json and node_modules/,TODO,0,Use `python3 scripts/scaffold_video.py --project-dir <paper_dir>`,VD2,AI
VD4,Video,Render video,"Run Remotion render to produce presentation.mp4",0,N/A,presentation.mp4 exists; H.264 1920x1080 30fps,TODO,0,Use `python3 scripts/render_video.py --project-dir <paper_dir>`,VD3,AI
VD5,Video,Validate video,"Check resolution + audio track + duration + file size",0,N/A,`validate_video.py` PASS; notes/video-validation.md generated,TODO,0,Use `python3 scripts/validate_video.py --project-dir <paper_dir>`,VD4,AI
PS1,Poster,Poster material analysis + requirements,"Read paper; confirm dimensions/orientation/columns/style (PS0-PS1)",0,N/A,Interview completed; dimensions confirmed,TODO,0,See references/poster-workflow.md,,BOTH
PS2,Poster,Resource collection,"Convert figures PDF→PNG; download logos; generate QR codes (PS2)",0,N/A,All figures in poster/; QR code generated,TODO,0,python3 scripts/poster_convert_figures.py,PS1,AI
PS3,Poster,Generate poster HTML,"Populate template: CARD_REGISTRY + DEFAULT_LAYOUT + header (PS3)",0,N/A,poster/index.html renders; no FILL_IN placeholders,TODO,0,python3 scripts/poster_generate.py,PS2,AI
PS4,Poster,Layout optimization,"Playwright whitespace minimization + PDF export (PS4)",0,N/A,posterAPI.getWaste() < 15%; PDF exported,TODO,0,python3 scripts/poster_optimize.py --sweep --pdf,PS3,AI
PS5,Poster,Quality loop + user iteration,"Validate score ≥85; user edits via Copy Config (PS5; max 3 rounds)",0,N/A,Score ≥85; poster-validation.md generated,TODO,0,python3 scripts/poster_validate.py,PS4,BOTH
PS6,Poster,Poster thumbnail + final export,"Generate thumbnail; final PDF at print resolution",0,N/A,poster.pdf + thumbnail exist,TODO,0,python3 scripts/poster_thumbnail.py,PS5,AI
