ID,Phase,Title,Description,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Notes,Depends_On,Owner
SL6,Slides,Slide drafting,"Write slides in batches of 5-10; telegraphic style; self-check density per batch (Phase 3)",0,TikZ diagrams,All slides drafted; notation consistent; density within bounds,TODO,0,Use `assets/template/beamer-preamble.tex`,SL5,AI
SL7,Slides,Slide quality loop,"Compile + self-review + score ≥90 + fix (max 3 rounds) (Phase 5)",0,N/A,Score ≥90; no overfull hbox >10pt; all citations resolve,TODO,0,Use `python3 scripts/compile_slides.py` and `validate_slides.py`,SL6,AI
SL8,Slides,Slide validation,"Run validate_slides.py; fix all VIOLATION and CRITICAL items",0,N/A,`validate_slides.py` reports PASS or PASS WITH WARNINGS,TODO,0,Use `python3 scripts/validate_slides.py --project-dir <slides_dir> --duration <min>`,SL7,AI
VD1,Video,Generate narration script,"Parse slides.tex frames and speaker notes into narration-script.json",0,N/A,narration-script.json exists with one entry per slide,TODO,0,Use `python3 scripts/generate_narration.py --project-dir <paper_dir>`,SL8,AI
VD2,Video,Synthesize TTS audio,"Synthesize per-slide TTS audio + manifest.json",0,N/A,All MP3 files generated; manifest.json has correct durations,TODO,0,Use `python3 scripts/synthesize_tts.py --project-dir <paper_dir>`; requires GPU or --api-url; see references/video-workflow.md,VD1,AI
VD3,Video,Scaffold Remotion project,"Convert PDF to PNG + copy Remotion template + generate props.json + npm install",0,N/A,slides/video/remotion/ exists with props.json and node_modules/,TODO,0,Use `python3 scripts/scaffold_video.py --project-dir <paper_dir>`,VD2,AI
VD4,Video,Render video,"Run Remotion render to produce presentation.mp4",0,N/A,presentation.mp4 exists; H.264 1920x1080 30fps,TODO,0,Use `python3 scripts/render_video.py --project-dir <paper_dir>`,VD3,AI
VD5,Video,Validate video,"Check resolution + audio track + duration + file size",0,N/A,`validate_video.py` PASS; notes/video-validation.md generated,TODO,0,Use `python3 scripts/validate_video.py --project-dir <paper_dir>`,VD4,AI
PS1,Poster,Poster material analysis + requirements,"Read paper; confirm dimensions/orientation/columns/style (PS0-PS1)",0,N/A,Interview completed; dimensions confirmed,TODO,0,See references/poster-workflow.md,,BOTH
PS2,Poster,Resource collection,"Convert figures PDF→PNG; download logos; generate QR codes (PS2)",0,N/A,All figures in poster/; QR code generated,TODO,0,python3 scripts/poster_convert_figures.py,PS1,AI
PS3,Poster,Generate poster HTML,"Populate template: CARD_REGISTRY + DEFAULT_LAYOUT + header (PS3)",0,N/A,poster/index.html renders; no FILL_IN placeholders,TODO,0,python3 scripts/poster_generate.py,PS2,AI
PS4,Poster,Layout optimization,"Playwright whitespace minimization + PDF export (PS4)",0,N/A,posterAPI.getWaste() < 15%; PDF exported,TODO,0,python3 scripts/poster_optimize.py --sweep --pdf,PS3,AI
PS5,Poster,Quality loop + user iteration,"Validate score ≥85; user edits via Copy Config (PS5; max 3 rounds)",0,N/A,Score ≥85; poster-validation.md generated,TODO,0,python3 scripts/poster_validate.py,PS4,BOTH
PS6,Poster,Poster thumbnail + final export,"Generate thumbnail; final PDF at print resolution",0,N/A,poster.pdf + thumbnail exist,TODO,0,python3 scripts/poster_thumbnail.py,PS5,AI
